location,year,category,rank,query
United States,2016,Technology,80,Smartphones
United States,2016,Travel,60,Adventure Travel
United States,2017,Food,45,Vegan Recipes
United States,2018,Fitness,75,Home Workouts
United States,2019,Entertainment,70,Streaming Services
United Kingdom,2020,Technology,70,5G Technology
United Kingdom,2020,Travel,50,Beach Holidays
United Kingdom,2021,Food,55,Plant-Based Diet
United Kingdom,2022,Fitness,80,Yoga
United Kingdom,2022,Entertainment,80,Virtual Concerts
United Kingdom,2022,Fitness,30,Swimming
Canada,2016,Technology,60,Artificial Intelligence
Canada,20216,Travel,40,Ski Resorts
Canada,2017,Food,50,Gourmet Cooking
Canada,2018,Fitness,60,Running
Canada,2019,Entertainment,75,Online Gaming
Canada,2017,Food,50,Gourmet Cooking
Canada,2019,Food,90,Gourmet Cooking
Canada,2020,Food,50,Gourmet Cooking
Canada,2021,Food,65,Gourmet Cooking
Canada,2022,Food,70,Gourmet Cooking
Canada,2022,Food,55,Gourmet Cooking
Canada,2022,Food,33,Gourmet Cooking
Canada,2023,Food,45,Gourmet Cooking
Australia,2022,Technology,75,Cryptocurrency
Australia,2022,Travel,55,Backpacking
Australia,2022,Food,65,Healthy Eating
Australia,2022,Fitness,85,CrossFit
Australia,2022,Entertainment,75,Podcasts
Germany,2022,Technology,65,Smart Homes
Germany,2022,Travel,48,Cultural Tours
Germany,2022,Food,52,Organic Farming
Germany,2022,Fitness,78,Cycling
Germany,2022,Entertainment,80,AR Gaming
India,2022,Technology,85,E-commerce
India,2022,Travel,42,Pilgrimage
India,2022,Food,58,Spices
India,2022,Fitness,82,Zumba
India,2022,Entertainment,72,Bollywood
France,2022,Technology,75,Robotics
France,2022,Travel,52,Wine Tours
France,2022,Food,60,French Cuisine
France,2022,Fitness,80,Swimming
France,2022,Entertainment,70,Art Exhibitions
Brazil,2022,Technology,68,Blockchain
Brazil,2022,Travel,45,Carnival
Brazil,2022,Food,55,Street Food
Brazil,2022,Fitness,75,Surfing
Brazil,2022,Entertainment,75,Samba Music
United States,2022,Technology,75,Smart Glasses
United States,2022,Travel,55,Space Tourism
United States,2022,Food,70,Plant-Based Protein
United States,2022,Fitness,90,HIIT Workouts
United States,2023,Entertainment,80,Live Streaming
United Kingdom,2023,Technology,68,Quantum Computing
United Kingdom,2023,Travel,50,City Breaks
United Kingdom,2023,Food,62,Farm-to-Table
United Kingdom,2023,Fitness,85,Pilates
United Kingdom,2023,Entertainment,75,Immersive Theater
Canada,2023,Technology,78,Drone Technology
Canada,2023,Travel,42,Hiking Trails
Canada,2023,Food,48,Sustainable Farming
Canada,2023,Fitness,80,Rowing
Canada,2023,Entertainment,80,VR Experiences
Australia,2023,Technology,72,Artificial Reality
Australia,2023,Travel,52,Desert Expeditions
Australia,2023,Food,65,Paleo Diet
Australia,2023,Fitness,88,Mountain Biking
Australia,2023,Entertainment,72,Interactive Museums
Germany,2023,Technology,60,Genetic Engineering
Germany,2023,Travel,45,Historical Tours
Germany,2023,Food,55,Vegan Cooking
Germany,2023,Fitness,78,Calisthenics
Germany,2023,Entertainment,75,Escape Rooms
India,2023,Technology,80,Augmented Reality
India,2023,Travel,38,Wildlife Safaris
India,2023,Food,50,Ayurvedic Diet
